Sl. No.,State/UT,Gross State Domestic Product (GSDP)at Current Prices - 2017-18,Gross State Domestic Product (GSDP)at Current Prices - 2018-19,Gross State Domestic Product (GSDP)at Current Prices - 2019-20,Gross State Domestic Product (GSDP)at Current Prices - 2020-21,Gross State Domestic Product (GSDP)at Current Prices - 2021-22,Gross State Domestic Product (GSDP)at Current Prices - 2022-23,Percentage Growth over Previous year at Current Prices - 2017-18,Percentage Growth over Previous year at Current Prices - 2018-19,Percentage Growth over Previous year at Current Prices - 2019-20,Percentage Growth over Previous year at Current Prices - 2020-21,Percentage Growth over Previous year at Current Prices - 2021-22,Percentage Growth over Previous year at Current Prices - 2022-23,Gross State Domestic Product (GSDP)at Constant Prices - 2017-18,Gross State Domestic Product (GSDP)at Constant Prices - 2018-19,Gross State Domestic Product (GSDP)at Constant Prices - 2019-20,Gross State Domestic Product (GSDP)at Constant Prices - 2020-21,Gross State Domestic Product (GSDP)at Constant Prices - 2021-22,Gross State Domestic Product (GSDP)at Constant Prices - 2022-23,Percentage Growth over Previous year at Constant Prices - 2017-18,Percentage Growth over Previous year at Constant Prices - 2018-19,Percentage Growth over Previous year at Constant Prices - 2019-20,Percentage Growth over Previous year at Constant Prices - 2020-21,Percentage Growth over Previous year at Constant Prices - 2021-22,Percentage Growth over Previous year at Constant Prices - 2022-23
1,Andhra Pradesh,786135,873721,925839,956788,1133837,1317728,14.9,11.1,6,3.3,18.5,16.2,594737,626614,649810,633720,704889,754338,10.1,5.4,3.7,-2.5,11.2,7
2,Arunachal Pradesh,22475,25335,30025,30945,35484,NA,12.9,12.7,18.5,3.1,14.7,NA,15572,16668,19137,18592,20283,NA,4.6,7,14.8,-2.8,9.1,NA
3,Assam,283165,309336,346851,353605,412612,493167,11.3,9.2,12.1,1.9,16.7,19.5,219919,231040,240707,242946,262523,289192,8.8,5.1,4.2,0.9,8.1,10.2
4,Bihar,468746,527976,582516,587154,675448,NA,11.3,12.6,10.3,0.8,15,NA,344028,381383,398283,385728,428065,NA,7.9,10.9,4.4,-3.2,11,NA
5,Chhattisgarh,282737,327107,344648,347752,406416,457608,7.6,15.7,5.4,0.9,16.9,12.6,220136,244579,251325,246804,267681,289082,3,11.1,2.8,-1.8,8.5,8
6,Goa,69352,71853,75032,75705,82604,NA,10.1,3.6,4.4,0.9,9.1,NA,52653,53063,54812,53360,55548,NA,2.7,0.8,3.3,-2.6,4.1,NA
7,Gujarat,1329095,1492156,1617143,1636781,1957583,NA,13.9,12.3,8.4,1.2,19.6,NA,1086570,1183020,1265277,1248189,1382530,NA,10.7,8.9,7,-1.4,10.8,NA
8,Haryana,638832,698940,732195,741850,870665,994154,13.8,9.4,4.8,1.3,17.4,14.2,482036,532996,544275,510306,568086,608420,5.5,10.6,2.1,-6.2,11.3,7.1
9,Himachal Pradesh,138551,148383,159162,156675,175173,NA,10.3,7.1,7.3,-1.6,11.8,NA,109406,116411,121168,114814,124400,NA,6.2,6.4,4.1,-5.2,8.3,NA
10,Jammu and Kashmir,139709,159859,NA,NA,NA,NA,11.9,14.4,NA,NA,NA,NA,106624,115062,NA,NA,NA,NA,6.4,7.9,NA,NA,NA,NA
11,Jharkhand,269816,305695,310305,300716,343178,NA,14.2,13.3,1.5,-3.1,14.1,NA,210587,229274,231755,218962,236816,NA,9,8.9,1.1,-5.5,8.2,NA
12,Karnataka,1333240,1479391,1611134,1625073,1962725,2241368,10.4,11,8.9,0.9,20.8,14.2,1019708,1085101,1148806,1108212,1229713,1326319,8.3,6.4,5.9,-3.5,11,7.9
13,Kerala,701588,788286,812935,771009,906921,NA,10.5,12.4,3.1,-5.2,17.6,NA,516190,554228,559194,512076,573591,NA,6.4,7.4,0.9,-8.4,12,NA
14,Madhya Pradesh,726284,829805,927855,961643,1136137,1322821,11.8,14.3,11.8,3.6,18.1,16.4,497102,543272,567525,543935,600689,643124,5.6,9.3,4.5,-4.2,10.4,7.1
15,Maharashtra,2352782,2528854,2657371,2627542,3108022,3527084,7,7.5,5.1,-1.1,18.3,13.5,1888706,1957381,2004663,1858370,2027971,2165558,4.5,3.6,2.4,-7.3,9.1,6.8
16,Manipur,25789,27388,29813,31280,33881,NA,21.1,6.2,8.9,4.9,8.3,NA,18751,18262,19187,19053,19385,NA,9.8,-2.6,5.1,-0.7,1.7,NA
17,Meghalaya,29508,32176,34770,34719,37830,41779,7.5,9,8.1,-0.1,9,10.4,22564,23719,24923,23751,25697,28024,3.8,5.1,5.1,-4.7,8.2,9.1
18,Mizoram,19385,21912,24990,24245,24604,NA,12.8,13,14,-3,1.5,NA,14758,16100,17884,16689,16128,NA,8.6,9.1,11.1,-6.7,-3.4,NA
